,Company,# Laid Off,%,Stage,Date Added,Ticker
2714,Westwing,125.0,,Post-IPO,10/3/2022,WEST3.SA
109,Five9,123.0,4%,Post-IPO,4/16/2025,FIVN
1939,Cyren,121.0,,Post-IPO,2/2/2023,CYRNQ
2462,Similarweb,120.0,10%,Post-IPO,11/16/2022,63X.MU
257,AppLovin,120.0,,Post-IPO,11/16/2024,APP
116,Palantir,120.0,,Post-IPO,4/1/2025,PLTR
2689,BioMarin,120.0,4%,Post-IPO,11/19/2022,BMRN
966,F5,120.0,2%,Post-IPO,11/6/2023,FFIV
1558,Vroom,120.0,11%,Post-IPO,4/27/2023,VRME
525,Rivian,120.0,,Post-IPO,5/11/2024,RIVN
1439,ZoomInfo,120.0,3%,Post-IPO,6/2/2023,ZOM.F
1226,Planet,117.0,10%,Post-IPO,8/1/2023,PL
540,Sprinklr,116.0,3%,Post-IPO,5/3/2024,CXM
2943,Latch,115.0,37%,Post-IPO,8/4/2022,LTCH
1705,Freshworks,114.0,2%,Post-IPO,3/16/2023,FRSH
874,Analog Devices,111.0,,Post-IPO,12/21/2023,ADI
720,Illumina,111.0,,Post-IPO,2/2/2024,ILMN
2555,Varonis,110.0,5%,Post-IPO,11/6/2022,VRNS
2082,Inspirato,109.0,12%,Post-IPO,1/19/2023,ISPO
1706,Coherent,108.0,,Post-IPO,3/16/2023,COHR
9,F5,106.0,2%,Post-IPO,8/18/2025,FFIV
672,Sonder,106.0,17%,Post-IPO,2/20/2024,SOND
276,iRobot,105.0,16%,Post-IPO,11/7/2024,IRBT
1397,TrueCar,102.0,24%,Post-IPO,6/14/2023,TRUE
4,Oracle,101.0,,Post-IPO,8/23/2025,ORCL
289,F5,100.0,2%,Post-IPO,10/29/2024,FFIV
2084,nCino,100.0,7%,Post-IPO,1/18/2023,NCNO
2758,Taboola,100.0,6%,Post-IPO,9/13/2022,TBLA
178,Asana,100.0,,Post-IPO,2/5/2025,ASAN
2636,F5,100.0,1%,Post-IPO,11/16/2022,FFIV
1305,Everquote,100.0,,Post-IPO,7/12/2023,EVER
1195,Doximity,100.0,10%,Post-IPO,8/8/2023,DOCS
1990,Synopsys,100.0,,Post-IPO,1/28/2023,SNPS
490,Pagaya,100.0,20%,Post-IPO,6/5/2024,PGY
2569,Delivery Hero,100.0,,Post-IPO,11/4/2022,DHER.DE
2335,Adobe,100.0,,Post-IPO,12/6/2022,ADBE
34,Lenovo,100.0,3%,Post-IPO,7/18/2025,0992.HK
2923,10X Genomics,100.0,8%,Post-IPO,8/4/2022,TXG
399,Eventbrite,100.0,11%,Post-IPO,8/8/2024,EB
1772,Sonder,100.0,14%,Post-IPO,3/1/2023,SOND
388,Sonos,100.0,6%,Post-IPO,8/14/2024,SONO
2894,Wix,100.0,,Post-IPO,8/9/2022,WIX
3441,Adaptive Biotechnologies,100.0,12%,Post-IPO,5/29/2022,ADPT
496,Google,100.0,,Post-IPO,6/1/2024,GOOG
1000,LegalZoom,100.0,,Post-IPO,10/19/2023,LZ
1009,Expedia,100.0,,Post-IPO,10/17/2023,EXPE
3071,Babylon,100.0,,Post-IPO,7/24/2022,BABI-USD
2514,Blend,100.0,6%,Post-IPO,12/8/2022,BLND
348,Mobileye,100.0,,Post-IPO,9/23/2024,MBLY
96,Meta,100.0,,Post-IPO,4/28/2025,META
1840,Sprinklr,100.0,4%,Post-IPO,2/15/2023,CXM
